feature_id,cf_class,cf_superclass,cf_subclass,molecular_family
9559,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_370
10150,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
7059,Unsaturated_hydrocarbons,Benzenoids,not_available,mf_35
2557,Organonitrogen_compounds,Organic_nitrogen_compounds,Quaternary_ammonium_salts,mf_532
4729,Pyrans,Organoheterocyclic_compounds,Pyranones_and_derivatives,mf_singleton
16526,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
14094,no_matches,no_matches,no_matches,mf_singleton
16891,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_34
9791,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_28
7953,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
1442,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_37
12450,Benzofurans,Organoheterocyclic_compounds,Dibenzofurans,mf_258
15456,Prenol_lipids,Lipids_and_lipid-like_molecules,Terpene_lactones,mf_176
16870,Sphingolipids,Lipids_and_lipid-like_molecules,Glycosphingolipids,mf_141
16331,no_matches,no_matches,no_matches,mf_singleton
7129,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_28
12047,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
5954,Harmala_alkaloids,Alkaloids_and_derivatives,not_available,mf_singleton
16487,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Cholestane_steroids,mf_singleton
5942,Organooxygen_compounds,Organic_oxygen_compounds,not_available,mf_23
6122,Coumarins_and_derivatives,Phenylpropanoids_and_polyketides,Hydroxycoumarins,mf_99
9650,no_matches,no_matches,no_matches,mf_singleton
17942,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
8310,Prenol_lipids,Lipids_and_lipid-like_molecules,Diterpenoids,mf_425
12496,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
7849,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_31
18035,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
8507,no_matches,no_matches,no_matches,mf_singleton
11035,Lactones,Organoheterocyclic_compounds,Gamma_butyrolactones,mf_singleton
15028,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_singleton
10931,Sphingolipids,Lipids_and_lipid-like_molecules,Ceramides,mf_81
12147,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acids_and_conjugates,mf_56
4173,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acid_esters,mf_155
13378,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
16153,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Cholestane_steroids,mf_singleton
17836,Sphingolipids,Lipids_and_lipid-like_molecules,Ceramides,mf_81
12405,Linear_1-3-diarylpropanoids,Phenylpropanoids_and_polyketides,Cinnamylphenols,mf_514
11915,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
12627,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acids_and_conjugates,mf_56
2201,Organooxygen_compounds,Organoheterocyclic_compounds,not_available,mf_4
17748,Sphingolipids,Lipids_and_lipid-like_molecules,Ceramides,mf_81
1588,Pyridines_and_derivatives,Organoheterocyclic_compounds,Oximes,mf_191
10490,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_67
17705,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_436
2786,Pyrans,Organoheterocyclic_compounds,Pyranones_and_derivatives,mf_268
15037,Glycerolipids,Lipids_and_lipid-like_molecules,Diradylglycerols,mf_127
12199,Benzene_and_substituted_derivatives,Benzenoids,not_available,mf_394
17302,no_matches,no_matches,no_matches,mf_148
882,Imidazopyrimidines,Organoheterocyclic_compounds,Purines_and_purine_derivatives,mf_475
10835,Epoxides,Organoheterocyclic_compounds,not_available,mf_singleton
1103,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_210
9900,no_matches,no_matches,no_matches,mf_singleton
15967,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
13604,no_matches,no_matches,no_matches,mf_singleton
17962,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_34
4139,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acids_and_conjugates,mf_495
18448,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoserines,mf_572
17902,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_34
10173,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
15676,Fatty_Acyls,Lipids_and_lipid-like_molecules,Hopanoids,mf_340
996,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,Amino_acids-_peptides-_and_analogues,mf_8
5619,Benzene_and_substituted_derivatives,Benzenoids,Styrenes,mf_378
2000,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,not_available,mf_193
15209,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesterterpenoids,mf_singleton
18068,Prenol_lipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_229
17785,Flavonoids,Phenylpropanoids_and_polyketides,Flavonoid_glycosides,mf_52
11448,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
18187,no_matches,no_matches,no_matches,mf_singleton
653,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,not_available,mf_193
10806,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
2735,no_matches,no_matches,no_matches,mf_singleton
17088,Prenol_lipids,Lipids_and_lipid-like_molecules,Glycerophosphates,mf_5
11503,no_matches,no_matches,no_matches,mf_singleton
14020,no_matches,no_matches,no_matches,mf_singleton
11281,Unsaturated_hydrocarbons,Hydrocarbons,Branched_unsaturated_hydrocarbons,mf_singleton
6682,Prenol_lipids,Lipids_and_lipid-like_molecules,Terpene_lactones,mf_singleton
1899,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_214
13742,Organonitrogen_compounds,Organic_nitrogen_compounds,not_available,mf_169
17806,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_34
12948,no_matches,no_matches,no_matches,mf_singleton
11074,Organonitrogen_compounds,Organic_nitrogen_compounds,not_available,mf_169
471,no_matches,no_matches,no_matches,mf_singleton
14289,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_singleton
10250,Organonitrogen_compounds,Organic_nitrogen_compounds,not_available,mf_169
13126,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
12860,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_67
10438,Unsaturated_hydrocarbons,Hydrocarbons,Enynes,mf_singleton
1198,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_72
14971,Prenol_lipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_229
18200,no_matches,no_matches,no_matches,mf_singleton
10814,no_matches,no_matches,no_matches,mf_singleton
13213,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_57
15226,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
6661,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_28
17913,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Steroidal_glycosides,mf_7
5050,Heteroaromatic_compounds,Organoheterocyclic_compounds,not_available,mf_singleton
15799,no_matches,no_matches,no_matches,mf_singleton
17045,Sphingolipids,Lipids_and_lipid-like_molecules,Glycosphingolipids,mf_141
18097,no_matches,no_matches,no_matches,mf_singleton
16912,no_matches,no_matches,no_matches,mf_singleton
3401,Pyrans,Benzenoids,not_available,mf_158
10971,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphates,mf_212
8135,no_matches,no_matches,no_matches,mf_singleton
13991,no_matches,no_matches,no_matches,mf_singleton
17407,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_3
14833,no_matches,no_matches,no_matches,mf_singleton
15736,no_matches,no_matches,no_matches,mf_singleton
14957,no_matches,no_matches,no_matches,mf_singleton
12640,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,not_available,mf_193
11776,no_matches,no_matches,no_matches,mf_singleton
15845,Organonitrogen_compounds,Organic_nitrogen_compounds,Amines,mf_115
13225,no_matches,no_matches,no_matches,mf_singleton
9963,Sphingolipids,Lipids_and_lipid-like_molecules,Ceramides,mf_81
